Nom du test,Statut,Temps Real (s),Temps User (s),Temps Sys (s)
"Latence 10 ms","SUCCÈS",0.646,0.158,0.089
"Latence 20 ms","SUCCÈS",0.858,0.120,0.087
"Latence 30 ms","SUCCÈS",1.056,0.126,0.078
"Latence 40 ms","SUCCÈS",1.231,0.142,0.052
"Latence 50 ms","SUCCÈS",1.448,0.146,0.052
"Latence 60 ms","SUCCÈS",1.701,0.119,0.085
"Latence 70 ms","SUCCÈS",1.993,0.132,0.073
"Latence 80 ms","SUCCÈS",2.199,0.168,0.057
"Latence 90 ms","SUCCÈS",2.711,0.185,0.117
"Latence 100 ms","SUCCÈS",3.415,0.297,0.288
"Réseau Parfait","SUCCÈS",0.644,0.164,0.079
"Pertes extrêmes (10% Data + ACKs)","SUCCÈS",5.033,0.182,0.084
"Pertes extrêmes (20% Data + ACKs)","SUCCÈS",8.758,0.159,0.117
"Pertes extrêmes (40% Data + ACKs)","SUCCÈS",17.836,0.134,0.080
"Pertes extrêmes (60% Data + ACKs)","SUCCÈS",28.535,0.172,0.087
"Pertes extrêmes (70% Data + ACKs)","SUCCÈS",42.363,0.148,0.090
"Latence et Jitter (Délai 10ms, Jitter 5ms)","SUCCÈS",0.679,0.163,0.057
"Latence et Jitter (Délai 20ms, Jitter 10ms)","SUCCÈS",0.853,0.139,0.084
"Latence et Jitter (Délai 40ms, Jitter 30ms)","SUCCÈS",1.305,0.143,0.077
"Latence et Jitter (Délai 60ms, Jitter 50ms)","SUCCÈS",1.679,0.165,0.059
"Latence et Jitter (Délai 80ms, Jitter 70ms)","SUCCÈS",2.376,0.154,0.069
"Latence et Jitter (Délai 100ms, Jitter 90ms)","SUCCÈS",2.533,0.153,0.065
